Date,Open,High,Low,Close,Adj Close,Volume
2016-05-09,400.350006,405.200012,395.149994,403.350006,403.18670699999996,8700283
2016-05-10,400.799988,400.799988,387.149994,388.950012,388.79254199999997,9166453
2016-05-11,384.799988,391.950012,376.100006,379.850006,379.69622799999996,11595875
2016-05-12,379.0,388.600006,379.0,387.049988,386.893311,6506343
2016-05-13,391.25,394.0,385.5,389.950012,389.792145,14027896
2016-05-16,393.799988,396.700012,389.0,392.700012,392.541046,8248193
2016-05-17,392.600006,395.0,386.600006,389.700012,389.542236,9425555
2016-05-18,383.5,387.350006,381.600006,384.850006,384.694214,8589315
2016-05-19,386.25,393.299988,381.950012,386.899994,386.743378,10988676
2016-05-20,386.700012,392.700012,383.5,384.450012,384.294373,6537509
2016-05-23,388.549988,389.950012,380.100006,381.75,381.595459,8153090
2016-05-24,383.799988,391.75,382.649994,389.100006,388.942474,10568106
2016-05-25,394.0,399.950012,394.0,397.0,396.839294,8897382
2016-05-26,400.5,402.0,396.75,399.25,399.08837900000003,8469732
2016-05-27,400.0,405.0,396.0,403.899994,403.736481,9035525
2016-05-30,404.799988,423.60000599999995,401.299988,421.25,421.07946799999996,15767133
2016-05-31,456.0,464.89999400000005,445.0,459.64999400000005,459.46389800000003,110744326
2016-06-01,455.75,458.299988,445.0,449.200012,449.018158,10389215
2016-06-02,444.10000599999995,460.5,444.10000599999995,453.450012,453.266449,13674434
2016-06-03,458.049988,461.799988,452.5,453.950012,453.76623499999994,11672544
2016-06-06,457.799988,465.0,450.200012,460.5,460.313568,9356808
2016-06-07,466.450012,466.450012,459.0,463.049988,462.86251799999997,12568902
2016-06-08,465.5,468.799988,463.200012,466.14999400000005,465.96127300000006,10467158
2016-06-09,469.450012,470.25,465.0,467.14999400000005,466.960876,8525017
2016-06-10,466.75,466.75,454.5,456.950012,456.76501500000006,7039858
2016-06-13,451.0,451.39999400000005,436.700012,444.25,444.07016,9507282
2016-06-14,446.89999400000005,453.85000599999995,441.14999400000005,448.39999400000005,448.218475,9615226
2016-06-15,449.89999400000005,453.0,447.25,452.10000599999995,451.916992,5704865
2016-06-16,449.700012,455.5,446.049988,454.35000599999995,454.166077,7255454
2016-06-17,461.0,465.75,457.299988,464.39999400000005,464.211975,7836702
2016-06-20,464.75,484.200012,460.25,482.049988,481.854828,9261350
2016-06-21,484.0,486.200012,477.60000599999995,484.89999400000005,484.70367400000003,8907801
2016-06-22,483.049988,484.799988,468.049988,472.700012,472.508636,7660165
2016-06-23,476.10000599999995,489.89999400000005,476.10000599999995,487.950012,487.75247199999995,9628216
2016-06-24,439.200012,453.75,421.25,449.39999400000005,449.21804800000007,40998600
2016-06-27,451.799988,457.25,443.60000599999995,448.950012,448.76825,12450283
2016-06-28,448.0,448.0,433.0,440.39999400000005,440.22171,10190394
2016-06-29,447.10000599999995,449.799988,445.39999400000005,447.25,447.06893899999994,6285461
2016-06-30,454.299988,462.25,451.549988,459.25,459.06408700000003,13214064
2016-07-01,463.60000599999995,464.75,454.700012,457.89999400000005,457.71463,7027759
2016-07-04,467.0,474.85000599999995,467.0,469.5,469.309937,8413087
2016-07-05,468.5,469.0,459.5,460.89999400000005,460.713409,4934087
2016-07-07,460.950012,465.450012,454.10000599999995,455.14999400000005,454.965729,6580663
2016-07-08,464.299988,468.200012,462.64999400000005,466.299988,466.111206,9263727
2016-07-11,472.10000599999995,486.799988,472.10000599999995,484.60000599999995,484.40380899999997,10477166
2016-07-12,486.0,488.64999400000005,481.10000599999995,484.299988,484.10391200000004,6767972
2016-07-13,485.950012,488.10000599999995,477.950012,481.10000599999995,480.905243,5855718
2016-07-14,480.10000599999995,489.299988,478.950012,486.10000599999995,485.903229,5983007
2016-07-15,480.0,501.700012,479.64999400000005,494.0,493.80001799999997,8889558
2016-07-18,495.0,505.0,490.0,492.64999400000005,492.64999400000005,7463954
2016-07-19,493.89999400000005,503.5,493.450012,499.25,499.25,7665519
2016-07-20,496.299988,502.450012,492.450012,493.89999400000005,493.89999400000005,5697901
2016-07-21,498.450012,500.0,489.700012,491.049988,491.049988,3658371
2016-07-22,494.450012,508.450012,493.5,507.200012,507.200012,5588143
2016-07-25,505.5,510.950012,503.35000599999995,509.0,509.0,4638151
2016-07-26,506.049988,513.349976,502.10000599999995,503.25,503.25,6187499
2016-07-27,507.75,513.049988,505.5,510.10000599999995,510.10000599999995,5193425
2016-07-28,510.0,511.89999400000005,498.75,506.85000599999995,506.85000599999995,6338260
2016-07-29,507.799988,510.5,501.10000599999995,503.200012,503.200012,3746332
2016-08-01,506.799988,514.900024,505.5,508.25,508.25,4748497
2016-08-02,510.0,511.200012,491.14999400000005,493.299988,493.299988,5251838
2016-08-03,494.5,499.5,475.5,478.39999400000005,478.39999400000005,7925049
2016-08-04,490.10000599999995,501.450012,488.60000599999995,500.0,500.0,9476008
2016-08-05,507.200012,518.700012,502.14999400000005,516.400024,516.400024,6393514
2016-08-08,518.200012,522.599976,513.400024,514.799988,514.799988,4649302
2016-08-09,521.0,522.0,509.200012,513.799988,513.799988,6015760
2016-08-10,515.599976,516.5,502.299988,503.450012,503.450012,6371139
2016-08-11,503.75,505.0,495.10000599999995,503.25,503.25,4112806
